Date,Meeting,Agenda Link,Minutes Link
1996-03-27,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_1011.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_0582.pdf
1996-03-27,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0456.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_0994.pdf
1996-04-24,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0545.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_1483.pdf
1996-05-16,Special Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0785.pdf,
1996-05-22,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1996/agenda_A_0731.pdf
http://boardarchives.metro.net/Agendas/1996/agenda_A_1420.pdf",http://boardarchives.metro.net/Minutes/1996/minutes_A_1485.pdf
1996-05-30,Special Board Meeting,"http://boardarchives.metro.net/Agendas/1996/agenda_A_0783.pdf
http://boardarchives.metro.net/Agendas/1996/agenda_A_0784.pdf",http://boardarchives.metro.net/Minutes/1996/minutes_A_0797.pdf
1996-06-01,Special Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0781.pdf,
1996-06-24,Regular Board Meeting,,http://boardarchives.metro.net/Minutes/1996/minutes_A_1490.pdf
1996-06-26,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1996/6,1996agenda.pdf",
1996-07-24,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0799.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_0846.pdf
1996-08-28,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0856.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_1663.pdf
1996-09-11,Special Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0933.pdf,
1996-09-21,Special Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_0098.pdf,
1996-09-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0910.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_0935.pdf
1996-10-23,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0647.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_0623.pdf
1996-11-08,Special Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0615.pdf,
1996-11-20,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0621.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_1154.pdf
